VIN,EXTERIOR,INTERIOR,DATE_SOLD,CUSTOMER_ID
WBAJR7C00LWW72931,Mineral White Metallic,Black Dakota Leather,,
WBAJR7C09LWW73706,Imperial Blue Metallic,Black SensaTec,,
WBSJF0C09LCD34721,Black Sapphire Metallic,Black Extended Merino Leather,,
WBAJS7C05LCD47409,Black Sapphire Metallic,Black Nappa Leather,,
WBAJS7C08LCD24819,Alpine White,Black Nappa Leather,,
WBAGV8C08LBP48592,Mineral White Metallic,Night Blue/Black Merino Leather,,
WBAGV8C05LCD36742,Black Sapphire Metallic,Fiona Red/Black Extended Merin,,
WBA2N3C09L7E44495,Long Beach Blue Metallic,Oyster Dakota Leather,,
WBA2N3C09L7E58008,Mineral White Metallic,Oyster/Black SensaTec,,
WBSDZ0C0XLCD57705,Donington Grey Metallic,Black Extended Merino Leather,,
WBSDZ0C02LBM09492,Motegi Red Metallic,Full Leather Merino Midrand Be,,
WBAHF9C01LWW35390,Glacier Silver Metallic,Black Vernasca Leather,,
5UXCW2C04L9B05600,Black Sapphire Metallic,Black Vernasca Leather,,
5UXCW2C04L9B58765,Phytonic Blue Metallic,Black Vernasca Leather,,
5UXCW2C00L9C59754,Arctic Grey Metallic,Black Vernasca Leather,,
5UXCW2C07L9B10483,Phytonic Blue Metallic,Black Vernasca Leather,,
5UXCW2C03L9C83949,Alpine White,Tartufo Ext Merino Leather,,
5UXCW2C02L9C95977,Alpine White,Black Vernasca Leather,,
5UXCW2C04L9B13406,Arctic Grey Metallic,Black Vernasca Leather,,
5UXCW2C04L9C75665,Jet Black,Black Vernasca Leather,,
5UXCW2C06L9C75344,Carbon Black Metallic,Black Vernasca Leather,,
5UXCW2C01L9C97414,Arctic Grey Metallic,Coffee Vernasca Leather,,
5UXJU4C01L9C27114,Alpine White,Coffee Vernasca Leather,,
5UXJU4C0XL9C26706,Arctic Grey Metallic,Black Vernasca Leather,,
5UXJU4C03L9C48952,Alpine White,Black Vernasca Leather,,
5UXCX6C05L9C27659,Mineral White Metallic,Tartufo Ext Merino Leather,,
5UXCX6C03L9B83418,Tanzanite Blue II Metallic,Black Vernasca Leather,,
5YMCY0C00L9C94074,Donington Grey Metallic,Taruma Brown Full Leather Meri,,
5YMTS0C03L9B30240,Donington Grey Metallic,Black Extended Merino Leather,,
5YMTS0C09L9B34258,Dark Graphite Metallic,Black Extended Merino Leather,,
WBXJG9C04L5R41686,Black Sapphire Metallic,Oyster/Black SensaTec,,
WBXJG9C04L5R48296,Mineral Grey Metallic,Oyster/Black SensaTec,,
WBXJG9C05L5R54723,Black Sapphire Metallic,Black Perforated Dakota Leather,,
WBXJG9C03L5P76732,Mineral Grey Metallic,Oyster/Black SensaTec,,
WBXJG9C09L5R51260,Storm Bay Metallic,Black SensaTec,,
WBXJG9C07L5R48793,Jet Black,Black SensaTec,,
WBXJG9C03L5R51173,Mediterranean Blue Metallic,Oyster/Black SensaTec,,
WBXJG9C0XL5R51249,Storm Bay Metallic,Oyster Perforated Dakota,,
5UXTY5C08L9C44236,Mineral White Metallic,Black Vernasca Leather,,
5UXTY5C07L9C45720,Mineral White Metallic,Black Vernasca Leather,,
5UXTY5C08L9C36430,Jet Black,Black SensaTec,,
5UXTY5C05L9C84466,Dark Graphite Metallic,Oyster Vernasca Leather,,
5UXTY5C00L9C61967,Alpine White,Black SensaTec,,
5UXTY5C02L9B63930,Dark Graphite Metallic,Black SensaTec,,
5UXTY5C08L9C44625,Carbon Black Metallic,Black SensaTec,,
5UXTY5C0XL9C00822,Alpine White,Black SensaTec,,
5UXTY5C09L9C48084,Jet Black,Black SensaTec,,
5UXTY5C05L9C87674,Phytonic Blue Metallic,Canberra Beige Vernasca Lthr,,
5UXTY5C05L9C58708,Phytonic Blue Metallic,Black SensaTec,,
5UXTY5C0XL9C48059,Glacier Silver Metallic,Black SensaTec,,
5UXTY5C04L9C85074,Phytonic Blue Metallic,Black SensaTec,,
5UXTY9C07L9B76891,Alpine White,Black Vernasca Leather,,
5UXTY9C01LL304560,Alpine White,Black SensaTec,,
5UXCR6C07L9C57630,Alpine White,Canberra Beige/Black SensaTec,,
5UXCR6C07L9C00361,Phytonic Blue Metallic,Black Extended Merino Leather,,
5UXCR6C02L9C43036,Alpine White,Black SensaTec,,
5UXCR6C00L9C57582,Jet Black,Black Vernasca Leather,,
5UXCR6C05L9C49722,Jet Black,Black SensaTec,,
5UXCR6C0XL9C77256,Alpine White,Black Vernasca Leather,,
5UXCR6C07L9C49348,Arctic Grey Metallic,Black Vernasca Leather,,
5UXCR6C08LLL82099,Black Sapphire Metallic,Black SensaTec,,
5UXCR6C06L9B81642,Black Sapphire Metallic,Black SensaTec,,
5UXCR6C0XL9C86118,Alpine White,Black Vernasca Leather,,
5UXCR6C00L9C46789,Alpine White,Black SensaTec,,
